"","destination_id","Destination_name","destination_type_id","destination_latitude","destination_longitude","Continent","Activity_Adventure","Activity_Biking","Activity_Birdwatching","Activity_Boating","Activity_Camping","Activity_Cave_Exploring","Activity_Dancing","Activity_Diving","Activity_Ecotourism","Activity_Excursions","Activity_Ferry","Activity_Fishing","Activity_Horseracing","Activity_Horseback_Riding","Activity_Hunting","Activity_Iceskating","Activity_Kayaking","Activity_Kitesurfing","Activity_Rafting","Activity_Rockclimbing","Activity_Rowing","Activity_Sailing","Activity_Segway_Tours","Activity_Shopping","Activity_Sightseeing","Activity_Skydiving","Activity_Sledding","Activity_Snorkeling","Activity_Snowtubing","Activity_Snowmobile_Riding","Activity_Snowshoeing","Activity_Stargazing","Activity_Surfing","Activity_Swimming","Activity_Walking","Activity_Waterskiing","Activity_Whalewatching","Activity_Windsurfing"
"1",8152,"Aarhus (and vicinity), Denmark",464,56.15309,10.205722,"Europe",0.064630616,0.081452878,0.06397231,0.069951124,0.06397231,0.06397231,0.06397231,0.064301463,0.067263841,0.06397231,0.065893022,0.06596648,0.06397231,0.064301463,0.065308174,0.06397231,0.067922147,0.06397231,0.06397231,0.064301463,0.064630616,0.0682513,0.064301463,0.079906042,0.06397231,0.06397231,0.06397231,0.064301463,0.06397231,0.06397231,0.06397231,0.06397231,0.06397231,0.069636518,0.068668524,0.064959769,0.06397231,0.065288922
"2",8710,"Albany (and vicinity), Georgia, United States of America",464,31.617903,-84.2226,"North America",0.064657527,0.065557536,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.065557536,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.094348256,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.08339903,0.072868431,0.064657527,0.064657527,0.064657527
"3",9485,"Akureyri, Iceland",557,65.72356,-18.10845,"Europe",0.066713672,0.067875112,0.064390792,0.073016638,0.064390792,0.064390792,0.064390792,0.064390792,0.064390792,0.078887069,0.064390792,0.064390792,0.064390792,0.067408037,0.064390792,0.064390792,0.065552232,0.064390792,0.064390792,0.064390792,0.064390792,0.065552232,0.064390792,0.090748499,0.064390792,0.064390792,0.064390792,0.064390792,0.064390792,0.066713672,0.064390792,0.064390792,0.064390792,0.068129849,0.087173442,0.064390792,0.066713672,0.064390792
"4",10043,"Athens (and vicinity), Georgia, United States of America",464,33.95772,-83.388577,"North America",0.063488612,0.067888913,0.062859997,0.064117226,0.062859997,0.062859997,0.065249492,0.062859997,0.062859997,0.062859997,0.062859997,0.063488612,0.062859997,0.062859997,0.062859997,0.062859997,0.064117226,0.062859997,0.064745841,0.062859997,0.062859997,0.064117226,0.062859997,0.08656314,0.062859997,0.063488612,0.062859997,0.062859997,0.062859997,0.063488612,0.063488612,0.062859997,0.063488612,0.084594512,0.100234748,0.064117226,0.062859997,0.064117226
"5",10105,"Al Hoceima, Morocco",557,35.24044,-3.929738,"Africa",0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.069122452,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.069122452,0.069122452,0.066520319,0.066520319
"6",10198,"Anderson, Indiana, United States of America",557,40.09165,-85.65928,"North America",0.066570395,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.068421511,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.095480443,0.064804963,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.06973613,0.083414569,0.065694803,0.060241387,0.060241387
"7",11190,"Alpine (and vicinity), Texas, United States of America",464,30.364678,-103.639926,"North America",0.069526226,0.06789172,0.067005588,0.067538676,0.064698258,0.062400936,0.063167587,0.062400936,0.062400936,0.062400936,0.067538676,0.062400936,0.062400936,0.083040031,0.062400936,0.062400936,0.062400936,0.062400936,0.062400936,0.062400936,0.062400936,0.062400936,0.062400936,0.064025102,0.062400936,0.062400936,0.062400936,0.062400936,0.062400936,0.062400936,0.062400936,0.067538676,0.067538676,0.066172371,0.094762474,0.062400936,0.067538676,0.062400936
"8",11376,"Alamogordo, New Mexico, United States of America",557,32.73735,-106.0033,"North America",0.062820641,0.064104338,0.062820641,0.062820641,0.09172937,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.065957236,0.062820641,0.062820641,0.068620706,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.073940861,0.070230193,0.062820641,0.062820641,0.062820641
"9",12988,"Armidale, New South Wales, Australia",557,-30.52389,151.6555,"Australia",0.066308381,0.068973981,0.066308381,0.067641181,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.067641181,0.066308381,0.066308381,0.066308381,0.066308381,0.067641181,0.066308381,0.066308381,0.067641181,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.067641181,0.071545861,0.066308381,0.066308381,0.066308381
"10",13484,"Astoria, Oregon, United States of America",557,46.12418,-123.6769,"North America",0.056799519,0.087387152,0.056799519,0.098064614,0.074408388,0.056799519,0.057045179,0.056799519,0.056799519,0.056799519,0.065589323,0.092305348,0.056799519,0.056799519,0.056799519,0.056799519,0.056799519,0.056799519,0.056799519,0.056799519,0.056799519,0.06125568,0.056799519,0.084185265,0.05777743,0.056799519,0.056799519,0.056799519,0.056799519,0.056799519,0.056799519,0.056799519,0.056799519,0.070293848,0.149559226,0.056799519,0.06217928,0.056799519
