"","destination_id","Destination_name","destination_type_id","destination_latitude","destination_longitude","Continent","Business_Budget","Business_Business","Business_Conferences","Business_Port","Business_Resorts","Business_University"
"1",8152,"Aarhus (and vicinity), Denmark",464,56.15309,10.205722,"Europe",0.084919022,0.084146428,0.06640288,0.066660121,0.06397231,0.06397231
"2",8710,"Albany (and vicinity), Georgia, United States of America",464,31.617903,-84.2226,"North America",0.066673019,0.095898336,0.064657527,0.064657527,0.064657527,0.072413265
"3",9485,"Akureyri, Iceland",557,65.72356,-18.10845,"Europe",0.064390792,0.066713672,0.064390792,0.064390792,0.064390792,0.065701659
"4",10043,"Athens (and vicinity), Georgia, United States of America",464,33.95772,-83.388577,"North America",0.075542162,0.08981302,0.0685824,0.062859997,0.062859997,0.103655794
"5",10105,"Al Hoceima, Morocco",557,35.24044,-3.929738,"Africa",0.066520319,0.069122452,0.066520319,0.066520319,0.066520319,0.066520319
"6",10198,"Anderson, Indiana, United States of America",557,40.09165,-85.65928,"North America",0.065438923,0.076873994,0.060241387,0.060241387,0.060241387,0.080770342
"7",11190,"Alpine (and vicinity), Texas, United States of America",464,30.364678,-103.639926,"North America",0.070995578,0.067139884,0.062400936,0.062400936,0.062400936,0.095068828
"8",11376,"Alamogordo, New Mexico, United States of America",557,32.73735,-106.0033,"North America",0.074047774,0.070112891,0.062820641,0.062820641,0.062820641,0.062820641
"9",12988,"Armidale, New South Wales, Australia",557,-30.52389,151.6555,"Australia",0.07720166,0.08006516,0.066308381,0.066308381,0.066308381,0.066308381
"10",13484,"Astoria, Oregon, United States of America",557,46.12418,-123.6769,"North America",0.081859031,0.085419549,0.056799519,0.094051124,0.056799519,0.056799519
"11",13980,"Appleton - Lake Winnebago (and vicinity), Wisconsin, United States of America",464,44.26222,-88.46827,"North America",0.080692774,0.082416098,0.061690877,0.059030696,0.059030696,0.076506088
"12",14011,"Watertown, South Dakota, United States of America",557,44.93607,-97.09045,"North America",0.061732883,0.0669898,0.061703365,0.061703365,0.061703365,0.061703365
"13",14166,"Abu Dhabi, United Arab Emirates",557,24.45503,54.50751,"Asia",0.071657737,0.096246172,0.074326465,0.061444212,0.056954803,0.056954803
"14",14569,"Avignon, France",774,43.94932,4.816989,"Europe",0.06661933,0.074546995,0.062187787,0.062187787,0.062187787,0.062639055
"15",14755,"Anguilla (all), Anguilla",464,18.180819,-63.134483,"South America",0.060247411,0.062049985,0.05844795,0.0585018,0.05844795,0.066504124
"16",15034,"Antalya, Turkey",557,36.89298,30.77626,"Europe",0.08038101,0.068460776,0.057397778,0.079608284,0.072104383,0.057397778
"17",15499,"Baotou, China",557,41.60901,110.2638,"Asia",0.065861819,0.083354531,0.065861819,0.065861819,0.065861819,0.065861819
"18",15902,"Bacolod, Philippines",557,10.6775,122.952,"Asia",0.079175324,0.072639585,0.060725836,0.065035913,0.060725836,0.060725836
"19",16801,"Bethel, Alaska, United States of America",557,60.79359,-161.8039,"North America",0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205
"20",16987,"Bradford, Pennsylvania, United States of America",557,41.91562,-78.76539,"North America",0.077200095,0.0669237,0.063526095,0.063526095,0.063526095,0.085000293
"21",18568,"Bujumbura, Burundi",557,-3.390973,29.3582,"Africa",0.062011075,0.074418979,0.062011075,0.062011075,0.062011075,0.071440826
"22",18847,"Bangkok, Thailand",557,13.7704,100.6211,"Asia",0.090645857,0.103259653,0.051594212,0.051620917,0.051154703,0.060649947
"23",21296,"Barquisimeto, Venezuela",557,10.03041,-69.31138,"South America",0.060240964,0.180722892,0.060240964,0.060240964,0.060240964,0.060240964
"24",21327,"Bern, Switzerland",557,46.9477,7.40662,"Europe",0.085483102,0.083061471,0.062305518,0.062305518,0.062305518,0.06521234
"25",22319,"Buenos Aires, Argentina",557,-34.61037,-58.44113,"South America",0.065301067,0.091584552,0.055465757,0.064141824,0.055465757,0.055465757
"26",23373,"Dibba, Oman",557,25.65178,56.21976,"Asia",0.0658809,0.067395822,0.0658809,0.0658809,0.0658809,0.0658809
"27",23590,"Bozeman (and vicinity), Montana, United States of America",464,45.69789,-111.04859,"North America",0.08182652,0.090287493,0.063799167,0.062189167,0.062189167,0.076686087
"28",23683,"Brazzaville, Republic of the Congo",557,-4.237149,15.29222,"Africa",0.066913093,0.069908002,0.066913093,0.066913093,0.066913093,0.066913093
"29",23776,"Cascavel (Parana), Brazil",557,-24.95574,-53.43666,"South America",0.065889955,0.073611963,0.065889955,0.065889955,0.065889955,0.065889955
"30",24954,"Crescent City, California, United States of America",557,41.77528,-124.0064,"North America",0.094308853,0.07475999,0.060957266,0.072668382,0.060957266,0.060957266
"31",25574,"Cologne, Germany",557,50.94614,6.973173,"Europe",0.075419786,0.102075318,0.062468039,0.061380132,0.061380132,0.061834754
"32",26194,"Chipata, Zambia",557,-13.63118,32.63906,"Africa",0.066970688,0.070023191,0.066970688,0.066970688,0.066970688,0.066970688
"33",26814,"College Station (and vicinity), Texas, United States of America",464,30.62921,-96.31858,"North America",0.116336779,0.089518994,0.067380872,0.059151672,0.059151672,0.190225832
"34",26969,"Charlotte, North Carolina, United States of America",557,35.22723,-80.8362,"North America",0.104213455,0.153789107,0.059793142,0.053086155,0.052584262,0.098235163
"35",27217,"Columbus, Ohio, United States of America",557,39.98415,-82.98585,"North America",0.089505428,0.114394803,0.069959042,0.05863078,0.057070333,0.076650455
"36",27310,"Club Makokola, Mangochi, Malawi",557,-14.30099,35.11935,"Africa",0.066727253,0.068205449,0.066727253,0.066727253,0.066727253,0.066727253
"37",27341,"Clermont, Queensland, Australia",557,-22.7198,147.4383,"Australia",0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129
"38",27837,"Coeur d'Alene, Idaho, United States of America",557,47.64194,-116.7035,"North America",0.112511975,0.098453586,0.063995773,0.058928887,0.058928887,0.058928887
"39",28240,"Copiapo, Chile",557,-27.3642,-70.33157,"South America",0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052
