"","destination_id","Destination_name","destination_type_id","destination_latitude","destination_longitude","Continent","Culture_Archaeology","Culture_Architecture","Culture_Art","Culture_Castle","Culture_Cathedral","Culture_Chinatown","Culture_Churches","Culture_Culture","Culture_Festivals","Culture_Friendly_People","Culture_Historical","Culture_Luxury","Culture_Marina","Culture_Markets","Culture_Monuments","Culture_Museums","Culture_Relaxing","Culture_Romantic","Culture_Ruins","Culture_Secluded","Culture_Smalltown","Culture_Spas","Culture_Temples","Culture_Trendy","Culture_Unescosite","Culture_Urban"
"1",8152,"Aarhus (and vicinity), Denmark",464,56.15309,10.205722,"Europe",0.06397231,0.067428979,0.070420176,0.065308174,0.070759489,0.06397231,0.071445485,0.067499488,0.066742826,0.06397231,0.070923331,0.065961118,0.066382846,0.064728972,0.068314601,0.071456064,0.06397231,0.064301463,0.06397231,0.06397231,0.06397231,0.070349416,0.06397231,0.06397231,0.06397231,0.070555372
"2",8710,"Albany (and vicinity), Georgia, United States of America",464,31.617903,-84.2226,"North America",0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064669759,0.064657527,0.064657527,0.069006486,0.064657527,0.071580964,0.064657527,0.064657527,0.064657527,0.065485785,0.076504825,0.064657527,0.064657527,0.064657527,0.068257563
"3",9485,"Akureyri, Iceland",557,65.72356,-18.10845,"Europe",0.064390792,0.064390792,0.078887069,0.064390792,0.064390792,0.064390792,0.102665398,0.064390792,0.064390792,0.064390792,0.064456363,0.064390792,0.064390792,0.064390792,0.064390792,0.078887069,0.064390792,0.064390792,0.064390792,0.064390792,0.064390792,0.065552232,0.064390792,0.064390792,0.064390792,0.065552232
"4",10043,"Athens (and vicinity), Georgia, United States of America",464,33.95772,-83.388577,"North America",0.062859997,0.062859997,0.065524433,0.062859997,0.062859997,0.062859997,0.062859997,0.065249492,0.062859997,0.064273333,0.066592415,0.073724253,0.062859997,0.065249492,0.062859997,0.065249492,0.072362344,0.063881142,0.062859997,0.062859997,0.062859997,0.073382917,0.062859997,0.063354784,0.062859997,0.071031986
"5",10105,"Al Hoceima, Morocco",557,35.24044,-3.929738,"Africa",0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.071724586,0.066520319,0.066520319,0.066520319,0.069122452
"6",10198,"Anderson, Indiana, United States of America",557,40.09165,-85.65928,"North America",0.065166312,0.070867406,0.100332702,0.060662286,0.060241387,0.060241387,0.060241387,0.092152578,0.084781758,0.060251094,0.1007536,0.061086422,0.060241387,0.068421511,0.068421511,0.096035691,0.079750441,0.060241387,0.060241387,0.076601634,0.080898646,0.070848348,0.060241387,0.060241387,0.060241387,0.067600982
"7",11190,"Alpine (and vicinity), Texas, United States of America",464,30.364678,-103.639926,"North America",0.062400936,0.062400936,0.08895218,0.062400936,0.062400936,0.062400936,0.062400936,0.094633495,0.062400936,0.062400936,0.097968058,0.066386338,0.062400936,0.062400936,0.067538676,0.092744679,0.070405403,0.062400936,0.062400936,0.062400936,0.065216302,0.0641732,0.062400936,0.062400936,0.062400936,0.063287068
"8",11376,"Alamogordo, New Mexico, United States of America",557,32.73735,-106.0033,"North America",0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.09172937,0.062820641,0.093666154,0.0710355,0.062820641,0.062820641,0.079125425,0.09931354,0.092867354,0.062820641,0.062820641,0.062820641,0.062820641,0.069908301,0.062820641,0.062820641,0.062820641,0.064104338
"9",12988,"Armidale, New South Wales, Australia",557,-30.52389,151.6555,"Australia",0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.067641181
"10",13484,"Astoria, Oregon, United States of America",557,46.12418,-123.6769,"North America",0.056799519,0.083969509,0.0890288,0.056799519,0.056799519,0.056799519,0.056799519,0.074379127,0.059076296,0.057719331,0.124093632,0.064929734,0.096919026,0.062384226,0.065589323,0.105454442,0.069003321,0.058585773,0.056799519,0.056799519,0.056799519,0.080040325,0.056799519,0.056799519,0.056799519,0.05832449
