"","destination_id","Destination_name","destination_type_id","destination_latitude","destination_longitude","Continent","Entertainment_Aquarium","Entertainment_Casino","Entertainment_Entertainment","Entertainment_Family_Friendly","Entertainment_Jazz","Entertainment_Live_Music","Entertainment_Musicals","Entertainment_Nightclubs","Entertainment_Nightlife","Entertainment_Opera","Entertainment_Theater","Entertainment_Themepark","Entertainment_Tours","Entertainment_Waterparks","Entertainment_Zoo"
"1",8152,"Aarhus (and vicinity), Denmark",464,56.15309,10.205722,"Europe",0.064895787,0.064301463,0.064728972,0.077746934,0.06397231,0.066904705,0.06397231,0.064310898,0.064400663,0.06397231,0.066918398,0.072549542,0.079560545,0.064301463,0.064857932
"2",8710,"Albany (and vicinity), Georgia, United States of America",464,31.617903,-84.2226,"North America",0.064719282,0.064657527,0.064657527,0.10072113,0.064657527,0.065630977,0.064657527,0.064657527,0.064657527,0.064657527,0.074897823,0.064657527,0.069157572,0.064657527,0.064657527
"3",9485,"Akureyri, Iceland",557,65.72356,-18.10845,"Europe",0.064390792,0.064390792,0.064390792,0.067875112,0.064390792,0.064390792,0.064390792,0.068105979,0.064390792,0.064390792,0.078887069,0.064390792,0.081627421,0.064390792,0.064390792
"4",10043,"Athens (and vicinity), Georgia, United States of America",464,33.95772,-83.388577,"North America",0.062859997,0.062859997,0.064117226,0.092935748,0.062859997,0.074009572,0.062859997,0.064592225,0.063631753,0.062859997,0.075303539,0.062859997,0.068453763,0.062859997,0.062859997
"5",10105,"Al Hoceima, Morocco",557,35.24044,-3.929738,"Africa",0.066520319,0.066520319,0.066520319,0.07432672,0.066520319,0.066520319,0.066520319,0.069122452,0.069122452,0.066520319,0.066520319,0.069122452,0.071724586,0.066520319,0.066520319
"6",10198,"Anderson, Indiana, United States of America",557,40.09165,-85.65928,"North America",0.065166312,0.08722661,0.070493786,0.112678381,0.060241387,0.067877774,0.066570395,0.060284004,0.060241387,0.066570395,0.085731967,0.068421511,0.088305774,0.060241387,0.087855567
"7",11190,"Alpine (and vicinity), Texas, United States of America",464,30.364678,-103.639926,"North America",0.062400936,0.062400936,0.062400936,0.078075564,0.062400936,0.062514005,0.062400936,0.062400936,0.062400936,0.062400936,0.062400936,0.067538676,0.082170009,0.062400936,0.062400936
"8",11376,"Alamogordo, New Mexico, United States of America",557,32.73735,-106.0033,"North America",0.062820641,0.062820641,0.062820641,0.093320515,0.062820641,0.064928719,0.062820641,0.063873447,0.063873447,0.062820641,0.062820641,0.062820641,0.09172937,0.062820641,0.091854498
"9",12988,"Armidale, New South Wales, Australia",557,-30.52389,151.6555,"Australia",0.066308381,0.066308381,0.066308381,0.067641181,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.068973981,0.066308381,0.066308381
"10",13484,"Astoria, Oregon, United States of America",557,46.12418,-123.6769,"North America",0.056799519,0.056799519,0.05832449,0.097926886,0.056799519,0.058694255,0.056799519,0.05801909,0.056799519,0.056799519,0.058467341,0.056799519,0.092457036,0.056799519,0.056799519
