"","destination_id","Destination_name","destination_type_id","destination_latitude","destination_longitude","Food_Bars","Food_Beer","Food_Cafes","Food_Cocktails","Food_Coffee","Food_Dining","Food_Fine_Dining","Food_Food","Food_Restaurants","Food_Seafood","Food_Wineries"
"1",8152,"Aarhus (and vicinity), Denmark",464,56.15309,10.205722,-2.056617983,-2.194007968,-2.185525597,-2.194007968,-2.130263364,-1.946523418,-2.194007968,-2.092434557,-1.964288289,-2.194007968,-2.194007968
"2",8710,"Albany (and vicinity), Georgia, United States of America",464,31.617903,-84.2226,-2.139416941,-2.18938091,-2.18938091,-2.18938091,-2.110232404,-1.891543115,-2.18938091,-2.066235399,-1.919598147,-2.18938091,-2.18938091
"3",8865,"Lanzarote, Spain",464,28.922668,-13.664571,-1.881775829,-2.250013602,-2.040115556,-2.255870416,-2.193702887,-1.726409387,-2.255111434,-1.80317275,-1.774989271,-2.257870326,-2.220800288
"4",9485,"Akureyri, Iceland",557,65.72356,-18.10845,-2.075204603,-2.191176234,-2.191176234,-2.191176234,-2.190625576,-1.878598007,-2.191176234,-2.136527988,-1.924850966,-2.191176234,-2.191176234
"5",10043,"Athens (and vicinity), Georgia, United States of America",464,33.95772,-83.388577,-2.029300179,-2.200206372,-2.194461552,-2.201625643,-2.067807188,-1.823607053,-2.201625643,-2.065453748,-1.862408085,-2.201625643,-2.177815094
"6",10105,"Al Hoceima, Morocco",557,35.24044,-3.929738,-2.128855034,-2.17704568,-2.17704568,-2.17704568,-2.17704568,-2.128855034,-2.17704568,-2.17704568,-2.128855034,-2.17704568,-2.17704568
"7",10198,"Anderson, Indiana, United States of America",557,40.09165,-85.65928,-2.185523571,-2.220105036,-2.176718868,-2.220105036,-2.113140583,-1.919780431,-2.220105036,-2.099105698,-1.925795759,-2.220105036,-2.220105036
"8",11190,"Alpine (and vicinity), Texas, United States of America",464,30.364678,-103.639926,-2.14336162,-2.204808893,-2.190185366,-2.204808893,-2.138837914,-2.013371058,-2.204808893,-2.104224617,-2.093172598,-2.204808893,-2.204808893
"9",11376,"Alamogordo, New Mexico, United States of America",557,32.73735,-106.0033,-2.166555397,-2.201897637,-2.201897637,-2.201897637,-2.110715901,-1.820591143,-2.201897637,-1.971235216,-1.847307344,-2.201897637,-2.201897637
"10",12988,"Armidale, New South Wales, Australia",557,-30.52389,151.6555,-2.123884086,-2.178431577,-2.178431577,-2.178431577,-2.13353825,-2.045686647,-2.178431577,-2.151808755,-2.066397738,-2.178431577,-2.178431577
"11",13484,"Astoria, Oregon, United States of America",557,46.12418,-123.6769,-2.04746519,-2.185015227,-2.213930002,-2.245655345,-1.967013924,-1.778132332,-2.245655345,-2.111826562,-1.90819752,-2.16946788,-2.203013852
"12",13980,"Appleton - Lake Winnebago (and vicinity), Wisconsin, United States of America",464,44.26222,-88.46827,-2.074577188,-2.188088054,-2.228922096,-2.228921928,-2.109427719,-1.805828483,-2.201052423,-1.98502138,-1.838817482,-2.228922096,-2.228922096
"13",14011,"Watertown, South Dakota, United States of America",557,44.93607,-97.09045,-2.198255063,-2.206265728,-2.209691148,-2.209691148,-2.182682464,-2.033865816,-2.209691148,-2.165029144,-2.088734119,-2.209691148,-2.209691148
"14",14166,"Abu Dhabi, United Arab Emirates",557,24.45503,54.50751,-2.029789437,-2.241041612,-2.231599958,-2.24097983,-2.199882141,-1.774962675,-2.244469646,-1.944243136,-1.858664973,-2.1944037,-2.244469646
"15",14569,"Avignon, France",774,43.94932,4.816989,-2.053076741,-2.206294899,-2.156741613,-2.206294899,-2.100427009,-1.772935575,-2.206293769,-2.057707721,-1.78641239,-2.206294899,-2.111081032
"16",14755,"Anguilla (all), Anguilla",464,18.180819,-63.134483,-2.06908119,-2.233230718,-2.23217264,-2.231755055,-2.229360716,-1.872424145,-2.233230718,-2.022517632,-1.965350517,-2.233230718,-2.233230718
"17",15034,"Antalya, Turkey",557,36.89298,30.77626,-2.078036603,-2.201712738,-2.195158253,-2.235800588,-2.213310212,-1.869470699,-2.23591859,-1.961524712,-1.907362045,-2.241104923,-2.241104923
"18",15499,"Baotou, China",557,41.60901,110.2638,-2.079070789,-2.181366277,-2.181366277,-2.181366277,-2.181366277,-2.079070789,-2.181366277,-2.181366277,-2.079070789,-2.181366277,-2.181366277
"19",15902,"Bacolod, Philippines",557,10.6775,122.952,-2.134459966,-2.216626501,-2.216626501,-2.216626501,-2.16444388,-2.05096324,-2.216626501,-1.974240894,-2.097228852,-2.100001311,-2.216626501
"20",16801,"Bethel, Alaska, United States of America",557,60.79359,-161.8039,-2.178314853,-2.178314853,-2.178314853,-2.178314853,-2.178314853,-2.15839929,-2.178314853,-2.178314853,-2.15839929,-2.178314853,-2.178314853
"21",16894,"Beira, Mozambique",557,-19.83464,34.86997,-2.131511349,-2.181163027,-2.181163027,-2.181163027,-2.181163027,-2.025438398,-2.181163027,-2.181163027,-2.025438398,-2.181163027,-2.181163027
"22",16987,"Bradford, Pennsylvania, United States of America",557,41.91562,-78.76539,-2.154827993,-2.197047837,-2.197047837,-2.197047837,-2.099467254,-2.018718565,-2.197047837,-2.017918902,-2.039132406,-2.197047837,-2.197047837
"23",18568,"Bujumbura, Burundi",557,-3.390973,29.3582,-2.102325971,-2.01975888,-2.207530738,-2.207530738,-2.207530738,-1.998728092,-2.207530738,-2.010698443,-2.03708162,-2.207530738,-2.207530738
