"","destination_id","Destination_name","destination_type_id","destination_latitude","destination_longitude","Continent","Nature_Beach","Nature_Coral_Reefs","Nature_Countryside","Nature_Desert","Nature_Forests","Nature_Gardens","Nature_Glaciers","Nature_Hiking","Nature_Hilly","Nature_Hotsprings","Nature_Islands","Nature_Jungle","Nature_Lake","Nature_Mountains","Nature_Natural_Parks","Nature_Nature","Nature_Northern_lights","Nature_Rainforest","Nature_River","Nature_Safari","Nature_Scenery","Nature_Sea","Nature_Sharks","Nature_Skyscrapers","Nature_Sunnyweather","Nature_Sunrise","Nature_Sunsets","Nature_Tropical","Nature_Volcanoes","Nature_Waterfalls","Nature_Wildlife"
"1",8152,"Aarhus (and vicinity), Denmark",464,56.15309,10.205722,"Europe",0.071464244,0.06397231,0.069238759,0.06397231,0.067213367,0.071545492,0.06397231,0.075719984,0.064857932,0.06397231,0.067628448,0.06397231,0.069434878,0.064301463,0.064959769,0.067628448,0.06397231,0.06397231,0.066559349,0.06397231,0.06397231,0.071451592,0.06397231,0.06397231,0.065719619,0.06397231,0.06397231,0.06397231,0.06397231,0.06397231,0.06397231
"2",8710,"Albany (and vicinity), Georgia, United States of America",464,31.617903,-84.2226,"North America",0.064657527,0.064657527,0.065557536,0.064657527,0.064657527,0.064657527,0.064657527,0.065557536,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.065914605,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527
"3",9485,"Akureyri, Iceland",557,65.72356,-18.10845,"Europe",0.064390792,0.064390792,0.065552232,0.064390792,0.064390792,0.081209949,0.064390792,0.067875112,0.064390792,0.064390792,0.064390792,0.064390792,0.064390792,0.066628983,0.064390792,0.064390792,0.064390792,0.064390792,0.064390792,0.064390792,0.064390792,0.075330607,0.064390792,0.064390792,0.064390792,0.064390792,0.064390792,0.064390792,0.064390792,0.064390792,0.064390792
"4",10043,"Athens (and vicinity), Georgia, United States of America",464,33.95772,-83.388577,"North America",0.062859997,0.062859997,0.063488612,0.062859997,0.065249492,0.065249492,0.062859997,0.069546924,0.062859997,0.062859997,0.062859997,0.062859997,0.065249492,0.062859997,0.062859997,0.065249492,0.062859997,0.062859997,0.062859997,0.062859997,0.062859997,0.062859997,0.062859997,0.062859997,0.062859997,0.062859997,0.062859997,0.065249492,0.062859997,0.062859997,0.062859997
"5",10105,"Al Hoceima, Morocco",557,35.24044,-3.929738,"Africa",0.071724586,0.066520319,0.066520319,0.066520319,0.066520319,0.071724586,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.069122452,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319
"6",10198,"Anderson, Indiana, United States of America",557,40.09165,-85.65928,"North America",0.068421511,0.065166312,0.064538398,0.076601634,0.065166312,0.077486969,0.060241387,0.072344902,0.076601634,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.076601634,0.089706683,0.060241387,0.060241387,0.060241387,0.060241387,0.065694803,0.065166312,0.060241387,0.065166312,0.076601634,0.060241387,0.060241387,0.060241387,0.060241387,0.065166312,0.076601634
"7",11190,"Alpine (and vicinity), Texas, United States of America",464,30.364678,-103.639926,"North America",0.062400936,0.067538676,0.062400936,0.075460231,0.069526226,0.06416397,0.069526226,0.107782657,0.071610239,0.062400936,0.067538676,0.069526226,0.074663965,0.115121983,0.07689004,0.083530281,0.062400936,0.062400936,0.062400936,0.062400936,0.067824392,0.074663965,0.062400936,0.062400936,0.062400936,0.062400936,0.062400936,0.062400936,0.062400936,0.074663965,0.078392541
"8",11376,"Alamogordo, New Mexico, United States of America",557,32.73735,-106.0033,"North America",0.062820641,0.062820641,0.062820641,0.064640276,0.062820641,0.062820641,0.062820641,0.064104338,0.062820641,0.062820641,0.062820641,0.09172937,0.062820641,0.072978039,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.062820641,0.063784023,0.062820641
"9",12988,"Armidale, New South Wales, Australia",557,-30.52389,151.6555,"Australia",0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.070306781,0.066308381,0.068973981,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381
"10",13484,"Astoria, Oregon, United States of America",557,46.12418,-123.6769,"North America",0.079625136,0.056799519,0.056799519,0.056799519,0.056799519,0.059269189,0.056799519,0.097459309,0.083168931,0.056799519,0.074379127,0.056799519,0.056799519,0.081393341,0.061416794,0.062659388,0.056799519,0.056799519,0.20659837,0.056799519,0.065935454,0.126241049,0.056799519,0.056799519,0.074379127,0.057384734,0.091886235,0.056799519,0.074379127,0.056799519,0.062659388
"11",13980,"Appleton - Lake Winnebago (and vicinity), Wisconsin, United States of America",464,44.26222,-88.46827,"North America",0.071969637,0.059030696,0.060317466,0.059030696,0.075624607,0.05928805,0.059030696,0.083464081,0.059030696,0.059030696,0.071397412,0.059030696,0.094093064,0.063257892,0.075939479,0.063257892,0.059030696,0.059030696,0.069772284,0.059030696,0.084404837,0.067742441,0.059030696,0.059030696,0.059030696,0.06294302,0.059030696,0.059030696,0.059030696,0.059046272,0.059030696
"12",14011,"Watertown, South Dakota, United States of America",557,44.93607,-97.09045,"North America",0.061703365,0.061703365,0.061703365,0.061703365,0.087808573,0.066557941,0.061703365,0.101141993,0.091640577,0.061703365,0.061703365,0.061703365,0.06573015,0.087808573,0.070405101,0.093609731,0.061703365,0.061703365,0.07909168,0.061703365,0.087808573,0.061703365,0.061703365,0.061703365,0.061703365,0.061703365,0.061703365,0.061703365,0.061703365,0.070405101,0.087808573
"13",14166,"Abu Dhabi, United Arab Emirates",557,24.45503,54.50751,"Asia",0.162285825,0.056954803,0.056954803,0.091248906,0.056954803,0.082751299,0.056954803,0.061947167,0.061438054,0.056954803,0.102459119,0.056954803,0.063537316,0.068020567,0.05720936,0.056954803,0.056954803,0.056954803,0.06241263,0.068951056,0.061453438,0.089485622,0.056954803,0.06355812,0.056954803,0.056954803,0.057259245,0.061716171,0.056954803,0.056954926,0.056954803
"14",14569,"Avignon, France",774,43.94932,4.816989,"Europe",0.062550737,0.062187787,0.062550737,0.062187787,0.062187787,0.08570246,0.062187787,0.064002537,0.062187787,0.062187787,0.062187787,0.062187787,0.062187787,0.062187787,0.062187787,0.062187787,0.062187787,0.062187787,0.086378551,0.062187787,0.062187787,0.062187787,0.062187787,0.062187787,0.062383952,0.062187787,0.062187787,0.062187787,0.062187787,0.062187787,0.062187787
