"","destination_id","Destination_name","destination_type_id","destination_latitude","destination_longitude","Continent","Sports_Baseball","Sports_Basketball","Sports_Cross_Country_Skiing","Sports_Football","Sports_Golf","Sports_Hockey","Sports_Indoor_Skiing","Sports_Running","Sports_Skiing","Sports_Snowboarding","Sports_Soccer","Sports_Sports"
"1",8152,"Aarhus (and vicinity), Denmark",464,56.15309,10.205722,"Europe",0.06397231,0.06397231,0.06397231,0.06397231,0.076612692,0.06397231,0.06397231,0.06397231,0.066065269,0.06397231,0.06397231,0.072580886
"2",8710,"Albany (and vicinity), Georgia, United States of America",464,31.617903,-84.2226,"North America",0.064657527,0.064657527,0.064657527,0.064657527,0.070057581,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.064657527,0.081077229
"3",9485,"Akureyri, Iceland",557,65.72356,-18.10845,"Europe",0.064390792,0.064390792,0.066713672,0.064390792,0.070197993,0.064390792,0.064390792,0.064390792,0.067875112,0.067875112,0.064390792,0.064390792
"4",10043,"Athens (and vicinity), Georgia, United States of America",464,33.95772,-83.388577,"North America",0.062859997,0.062978055,0.062859997,0.077089612,0.07363275,0.062859997,0.062859997,0.062859997,0.062859997,0.062859997,0.062859997,0.101897209
"5",10105,"Al Hoceima, Morocco",557,35.24044,-3.929738,"Africa",0.066520319,0.066520319,0.069122452,0.066520319,0.066520319,0.066520319,0.066520319,0.066520319,0.069122452,0.066520319,0.066520319,0.071724586
"6",10198,"Anderson, Indiana, United States of America",557,40.09165,-85.65928,"North America",0.060241387,0.060241387,0.060241387,0.061229367,0.071678963,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.060241387,0.086772433
"7",11190,"Alpine (and vicinity), Texas, United States of America",464,30.364678,-103.639926,"North America",0.062400936,0.062400936,0.069526226,0.062400936,0.063287068,0.062400936,0.062400936,0.062400936,0.069526226,0.062400936,0.062400936,0.072576319
"8",11376,"Alamogordo, New Mexico, United States of America",557,32.73735,-106.0033,"North America",0.062820641,0.062820641,0.062820641,0.062820641,0.093013067,0.062820641,0.062820641,0.062820641,0.064104338,0.062820641,0.062820641,0.068246503
"9",12988,"Armidale, New South Wales, Australia",557,-30.52389,151.6555,"Australia",0.066308381,0.066308381,0.066308381,0.066308381,0.070306781,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.066308381,0.067641181
"10",13484,"Astoria, Oregon, United States of America",557,46.12418,-123.6769,"North America",0.056799519,0.056799519,0.056799519,0.056799519,0.059086976,0.056799519,0.056799519,0.056799519,0.056799519,0.056799519,0.056799519,0.060715174
"11",13980,"Appleton - Lake Winnebago (and vicinity), Wisconsin, United States of America",464,44.26222,-88.46827,"North America",0.068490162,0.059070427,0.060832173,0.069683664,0.074482926,0.059030696,0.059030696,0.059030696,0.06566487,0.059802758,0.063257892,0.098229199
"12",14011,"Watertown, South Dakota, United States of America",557,44.93607,-97.09045,"North America",0.061703365,0.061703365,0.062503045,0.061703365,0.072434348,0.061703365,0.061703365,0.061703365,0.068435947,0.061703365,0.061703365,0.066068783
"13",14166,"Abu Dhabi, United Arab Emirates",557,24.45503,54.50751,"Asia",0.056954803,0.056954803,0.056954803,0.056954803,0.08218006,0.07402413,0.056954803,0.056954803,0.074878441,0.056954803,0.056954803,0.112963502
"14",14569,"Avignon, France",774,43.94932,4.816989,"Europe",0.062187787,0.062187787,0.062187787,0.062187787,0.072418137,0.062187787,0.062187787,0.062187787,0.062187787,0.062187787,0.062187787,0.066820588
"15",14755,"Anguilla (all), Anguilla",464,18.180819,-63.134483,"South America",0.05844795,0.066504124,0.05844795,0.05844795,0.074449588,0.05844795,0.05844795,0.05844795,0.05844795,0.05844795,0.05844795,0.08240069
"16",15034,"Antalya, Turkey",557,36.89298,30.77626,"Europe",0.057397778,0.057397778,0.057397778,0.057397778,0.064596959,0.057397778,0.057397778,0.057397778,0.061834902,0.057397778,0.057397778,0.07807343
"17",15499,"Baotou, China",557,41.60901,110.2638,"Asia",0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.081410896
"18",15902,"Bacolod, Philippines",557,10.6775,122.952,"Asia",0.060725836,0.060725836,0.060725836,0.069836501,0.083132927,0.060725836,0.060725836,0.060725836,0.060725836,0.060725836,0.060725836,0.087853448
"19",16801,"Bethel, Alaska, United States of America",557,60.79359,-161.8039,"North America",0.066326205,0.083817218,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.083817218
"20",16987,"Bradford, Pennsylvania, United States of America",557,41.91562,-78.76539,"North America",0.071080392,0.063526095,0.063526095,0.063526095,0.064375497,0.063526095,0.063526095,0.063526095,0.065146298,0.063526095,0.063526095,0.073097958
"21",18568,"Bujumbura, Burundi",557,-3.390973,29.3582,"Africa",0.062011075,0.062011075,0.062011075,0.062011075,0.063602672,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.080669028
"22",18847,"Bangkok, Thailand",557,13.7704,100.6211,"Asia",0.051154703,0.056224109,0.051154703,0.068161394,0.059281552,0.051154703,0.051154703,0.051301976,0.05123471,0.051154703,0.051154703,0.131821955
"23",21296,"Barquisimeto, Venezuela",557,10.03041,-69.31138,"South America",0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.120481928
"24",21327,"Bern, Switzerland",557,46.9477,7.40662,"Europe",0.062305518,0.062305518,0.063060634,0.062305518,0.06381575,0.062305518,0.062305518,0.062305518,0.063060634,0.063060634,0.062305518,0.071594996
"25",22319,"Buenos Aires, Argentina",557,-34.61037,-58.44113,"South America",0.055465757,0.055465757,0.055465757,0.068984103,0.066842044,0.055465757,0.055465757,0.055465757,0.061336134,0.055465757,0.068278822,0.090032731
"26",23373,"Dibba, Oman",557,25.65178,56.21976,"Asia",0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.067395822
"27",23590,"Bozeman (and vicinity), Montana, United States of America",464,45.69789,-111.04859,"North America",0.062189167,0.062195121,0.06583728,0.063971813,0.072091189,0.062189167,0.062189167,0.062189167,0.080712842,0.06583728,0.062189167,0.082650584
"28",23683,"Brazzaville, Republic of the Congo",557,-4.237149,15.29222,"Africa",0.066913093,0.066913093,0.066913093,0.066913093,0.069908002,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.069908002
"29",23776,"Cascavel (Parana), Brazil",557,-24.95574,-53.43666,"South America",0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.076185966
"30",24954,"Crescent City, California, United States of America",557,41.77528,-124.0064,"North America",0.060957266,0.060957266,0.060957266,0.060957266,0.067067134,0.060957266,0.060957266,0.060957266,0.065235464,0.060957266,0.060957266,0.062165809
"31",25574,"Cologne, Germany",557,50.94614,6.973173,"Europe",0.061380132,0.061380132,0.061380132,0.061725642,0.066331534,0.061380132,0.061380132,0.061380132,0.061380132,0.061380132,0.061382347,0.074445927
"32",26194,"Chipata, Zambia",557,-13.63118,32.63906,"Africa",0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688
"33",26814,"College Station (and vicinity), Texas, United States of America",464,30.62921,-96.31858,"North America",0.087427397,0.063645116,0.059151672,0.088382153,0.070241419,0.059151672,0.059151672,0.063310412,0.059151672,0.059151672,0.059151672,0.136522584
"34",26969,"Charlotte, North Carolina, United States of America",557,35.22723,-80.8362,"North America",0.052716191,0.05542816,0.053161774,0.087615165,0.067445208,0.101696525,0.052584262,0.052584262,0.053161774,0.052776766,0.052985873,0.135384875
"35",27217,"Columbus, Ohio, United States of America",557,39.98415,-82.98585,"North America",0.057219336,0.06432959,0.05730576,0.08834208,0.070917568,0.062619875,0.057070333,0.057741853,0.05730576,0.05730576,0.057915192,0.144154301
"36",27310,"Club Makokola, Mangochi, Malawi",557,-14.30099,35.11935,"Africa",0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.068205449
"37",27341,"Clermont, Queensland, Australia",557,-22.7198,147.4383,"Australia",0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129
"38",27837,"Coeur d'Alene, Idaho, United States of America",557,47.64194,-116.7035,"North America",0.05916714,0.060722312,0.060864621,0.058928887,0.068042326,0.058928887,0.058928887,0.058928887,0.073285741,0.060864621,0.058928887,0.117944421
"39",28240,"Copiapo, Chile",557,-27.3642,-70.33157,"South America",0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052
"40",28953,"Chengdu, China",557,30.69975,103.8605,"Asia",0.059798921,0.059798921,0.059798921,0.059798921,0.060120782,0.059798921,0.059798921,0.059798921,0.064173314,0.059798921,0.059798921,0.086982811
"41",28984,"Cucuta, Colombia",557,7.907297,-72.50908,"South America",0.064992795,0.064992795,0.064992795,0.064992795,0.071804534,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.070729815
"42",29046,"Culiacan (and vicinity), Sinaloa, Mexico",464,24.813196,-107.401922,"South America",0.071999848,0.062611813,0.062611813,0.062611813,0.070810322,0.062611813,0.062611813,0.062611813,0.062611813,0.062611813,0.062611813,0.088787167
"43",29108,"Cancun, Quintana Roo, Mexico",557,21.12304,-86.88591,"South America",0.046255887,0.046620019,0.046237543,0.046468164,0.069174889,0.04625107,0.046237543,0.046374908,0.04653332,0.046237543,0.047559092,0.085261208
"44",30286,"Dhaka, Bangladesh",557,23.78061,90.40796,"Asia",0.061376673,0.061376673,0.061376673,0.061376673,0.062742793,0.061376673,0.061376673,0.061376673,0.061376673,0.061376673,0.061376673,0.068918833
"45",30782,"Dodge City, Kansas, United States of America",557,37.74656,-100.0187,"North America",0.064586595,0.080381029,0.060493106,0.064586595,0.066791991,0.060493106,0.060493106,0.060493106,0.067096506,0.060493106,0.060493106,0.085043551
"46",31216,"Durango, Durango, Mexico",557,24.03852,-104.6613,"South America",0.062073191,0.062073191,0.062073191,0.062073191,0.072786927,0.062073191,0.062073191,0.066950047,0.068836672,0.062073191,0.062073191,0.070312804
"47",31402,"Dijon, France",557,47.3233,5.039531,"Europe",0.062359682,0.062359682,0.062359682,0.062359682,0.072694531,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.066495448
"48",31960,"Geilo, Hol, Norway",557,60.53467,8.206244,"Europe",0.066428107,0.066428107,0.070426508,0.066428107,0.068427307,0.066428107,0.066428107,0.066428107,0.070426508,0.070426508,0.066428107,0.070426508
"49",32053,"Da Lat, Vietnam",557,11.92321,108.4671,"Asia",0.059927463,0.059927463,0.059927463,0.059927463,0.091030664,0.059927463,0.059927463,0.059927463,0.059927463,0.059927463,0.059927463,0.070332939
"50",32456,"Denizli, Turkey",557,37.87642,29.14919,"Europe",0.062170976,0.062170976,0.062170976,0.062170976,0.062170976,0.062170976,0.062170976,0.062170976,0.062170976,0.062170976,0.062170976,0.085082523
"51",33386,"Durban, South Africa",557,-29.84922,30.99178,"Africa",0.059101673,0.059101673,0.059101673,0.083108838,0.071259792,0.059101673,0.059101673,0.059101673,0.059316528,0.059101673,0.060616035,0.092221232
"52",33944,"Kampala, Uganda",557,0.30793,32.57166,"Africa",0.060487022,0.060487022,0.060487022,0.060487022,0.067267134,0.060487022,0.060487022,0.060487022,0.060487022,0.060487022,0.060487022,0.083879781
"53",34223,"Edinburgh, Scotland, United Kingdom",557,55.94121,-3.224316,"Europe",0.049545082,0.049545082,0.049545082,0.056703752,0.07935308,0.054000763,0.049545082,0.049656712,0.050171678,0.050015029,0.049545082,0.079315273
"54",35122,"El Paso (and vicinity), Texas, United States of America",464,31.78105,-106.404565,"North America",0.061834149,0.060812536,0.059237483,0.060981879,0.064016912,0.059237483,0.059237483,0.059237483,0.059237483,0.059237483,0.059237483,0.105772815
"55",36331,"El Salvador, Chile",557,-26.14895,-69.62051,"South America",0.066026173,0.066026173,0.057188432,0.057188432,0.068611046,0.057188432,0.057188432,0.057188432,0.071680607,0.064803508,0.057188432,0.080518348
"56",36703,"New Bedford, Massachusetts, United States of America",557,41.66583,-70.93975,"North America",0.062924307,0.062924307,0.062924307,0.062924307,0.065711764,0.062924307,0.062924307,0.062924307,0.064318035,0.062924307,0.062924307,0.076731549
"57",37044,"Fajardo, Puerto Rico",557,18.32608,-65.65771,"South America",0.047177831,0.050795714,0.047177831,0.047177831,0.104175216,0.04915002,0.047177831,0.047177831,0.047177831,0.047177831,0.047177831,0.092764908
"58",37168,"Fresno, California, United States of America",557,36.70835,-119.8372,"North America",0.083124576,0.065520717,0.058115453,0.063085247,0.067036869,0.057807305,0.057807305,0.057807305,0.059348042,0.058115453,0.07536666,0.121485359
